@RELATION classifiers/SMV_RBF_new_2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE class {C:/Users/XPS/Desktop/Clean This/Training Data/sv,C:/Users/XPS/Desktop/Clean This/Training Data/usv,C:/Users/XPS/Desktop/Clean This/Training Data/scratch}

@DATA
0.227142,0.085888,3.214720,0.301351,0.162031,0.666489,0.030848,0.303456,0.219136,0.205792,0.204640,-42.771271,-3.985490,-0.023728,0.177461,-0.045943,0.208103,0.161596,-0.242071,-0.579046,-0.070024,0.360132,-0.577072,-1.203545,0.013755,0.016388,0.041976,0.014177,0.011952,0.122972,0.011604,0.017952,0.005120,0.001120,0.001568,0.851581,0.462449,0.041237,0.066976,0.025787,0.023581,0.033659,0.041939,0.063823,0.019278,0.042660,0.073156,0.111382,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.216340,0.086407,3.142232,0.297168,0.184220,0.741248,0.029339,0.288067,0.199600,0.189667,0.173067,-42.456363,-4.180588,-0.002235,0.180696,-0.027915,0.203540,0.165358,-0.255465,-0.592139,-0.068590,0.370008,-0.614314,-1.241745,0.032726,0.036452,0.060993,0.022030,0.012101,0.255127,0.006641,0.067400,0.025867,0.016733,0.000933,0.883886,0.472549,0.063272,0.075744,0.044578,0.031363,0.041794,0.032985,0.084538,0.017234,0.050114,0.054888,0.110325,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.232395,0.109982,3.235905,0.304851,0.152638,0.779967,0.047073,0.376610,0.218400,0.212762,0.207543,-42.893176,-3.912026,-0.014143,0.169593,-0.047174,0.206000,0.157354,-0.242912,-0.559817,-0.076769,0.354323,-0.568719,-1.198607,0.017633,0.011086,0.036336,0.015594,0.009521,0.121315,0.021091,0.036190,0.010705,0.005829,0.001143,0.837424,0.457800,0.049059,0.073243,0.026211,0.020005,0.046157,0.037376,0.073352,0.017816,0.042914,0.072986,0.100015,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.209159,0.326994,3.261564,0.283408,0.165030,0.381048,0.049623,0.218752,0.204416,0.204032,0.195744,-41.202427,-4.820425,-0.082894,0.304102,-0.088122,0.219989,0.236281,-0.315147,-0.704922,-0.047898,0.411474,-0.705735,-1.423984,0.000801,0.022431,0.042378,0.013495,0.015193,0.087934,0.022028,0.009472,0.004672,0.004672,0.004640,0.815633,0.476477,0.044356,0.079226,0.036797,0.017988,0.044707,0.037437,0.078870,0.019293,0.039680,0.075730,0.107332,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.203553,0.184705,3.218852,0.294669,0.168293,0.649995,0.052292,0.270552,0.191200,0.190933,0.190362,-42.389802,-4.183453,-0.028305,0.190098,-0.043789,0.224193,0.172658,-0.267942,-0.607988,-0.074625,0.370478,-0.610511,-1.256944,0.005261,0.026078,0.036639,0.014577,0.013614,0.094132,0.016003,0.010590,0.005524,0.005486,0.005448,0.763263,0.381051,0.044569,0.060985,0.029958,0.017649,0.034263,0.029177,0.075249,0.019469,0.036428,0.069717,0.119238,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.241987,0.085110,3.234815,0.309696,0.155476,0.653530,0.026588,0.304828,0.236938,0.226786,0.218952,-42.479427,-4.161546,-0.027489,0.203908,-0.056590,0.216256,0.170003,-0.253346,-0.596634,-0.070190,0.374087,-0.595356,-1.241312,0.008006,0.014446,0.029594,0.012619,0.011200,0.115961,0.007232,0.028690,0.005931,0.005490,0.001186,0.838932,0.454672,0.046323,0.074537,0.030157,0.021026,0.037171,0.043354,0.069556,0.013449,0.038962,0.071246,0.102475,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.222906,0.192793,3.147625,0.282456,0.161635,0.444933,0.044768,0.252073,0.208764,0.202327,0.199309,-42.032360,-4.376527,-0.016303,0.223082,-0.067189,0.232298,0.194948,-0.266372,-0.672278,-0.070807,0.385823,-0.639169,-1.314912,0.007097,0.021150,0.047934,0.011994,0.011717,0.107169,0.026001,0.016436,0.000545,0.005018,0.005273,0.718085,0.449533,0.046516,0.064695,0.033774,0.013154,0.041775,0.034643,0.067345,0.022197,0.043788,0.066090,0.089597,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.224740,0.081727,3.040565,0.286141,0.161970,0.737538,0.035111,0.310453,0.215360,0.198133,0.187733,-43.114364,-3.805322,-0.004896,0.149963,-0.038402,0.200850,0.136485,-0.231178,-0.531884,-0.064361,0.327907,-0.545732,-1.158737,0.025380,0.022870,0.181614,0.021767,0.014742,0.172766,0.010304,0.046987,0.021867,0.009440,0.005227,1.188587,0.651576,0.057000,0.098398,0.046995,0.033516,0.059324,0.056497,0.114337,0.029986,0.070223,0.098139,0.153052,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.278890,0.071158,3.229800,0.327758,0.166688,0.637847,0.041800,0.330281,0.272711,0.238785,0.218519,-42.914342,-3.882155,-0.039374,0.172100,-0.040425,0.214837,0.145771,-0.241586,-0.558974,-0.071741,0.345733,-0.565700,-1.192320,0.025739,0.009133,0.034353,0.018186,0.010439,0.150464,0.022346,0.023496,0.016237,0.007496,0.005541,0.803439,0.460583,0.028693,0.063699,0.026134,0.020565,0.039830,0.030782,0.076603,0.012408,0.042841,0.063173,0.099993,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.224332,0.187344,3.229704,0.281788,0.153795,0.328426,0.064515,0.236038,0.221371,0.214400,0.209829,-42.124808,-4.359809,-0.044078,0.227426,-0.061985,0.227295,0.193356,-0.274360,-0.635770,-0.063490,0.387335,-0.620229,-1.275360,0.012467,0.020641,0.036527,0.021425,0.019630,0.115255,0.032277,0.023467,0.010019,0.003352,0.001752,1.022531,0.566743,0.048859,0.083227,0.031882,0.012645,0.046429,0.043457,0.080659,0.014150,0.045402,0.083063,0.134516,C:/Users/XPS/Desktop/Clean This/Training Data/sv
